LIME coefficients version,20251010_v1
Interpolation spectrum,ASD
latitude (deg),0.0
longitude (deg),180.0
altitude (m),0.0
datetime,2024-10-17 12:30:00+00:00
moon phase angle (deg),2.0094104876945935
selenographic latitude (deg),-2.4629755796726673
selenographic longitude (deg),1.06320402779235
solar selenographic longitude (rad),0.010556410111700304
distance sun moon (AU),0.9988308198747283
distance observer moon (km),351276.5402053473
CIMEL Wavelengths (nm),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹) uncertainties (k=2)
640.0,6.054011940061256e-06,5.8976229253509895e-08
641.0,6.016724908075903e-06,5.861298691309169e-08
642.0,6.012841044315662e-06,5.7579128799322384e-08
643.0,6.0238048346698025e-06,5.7199690408063406e-08
644.0,6.02555234229383e-06,5.71185002986175e-08
645.0,6.008887725003593e-06,5.780660633661983e-08
646.0,5.9964350183666014e-06,5.769775717959262e-08
647.0,5.998537175319122e-06,5.712968454444322e-08
648.0,5.9865974291667625e-06,5.721148988503154e-08
649.0,5.949023829979209e-06,5.6849118108433214e-08
650.0,5.9334713211667135e-06,5.658414711755678e-08
651.0,5.964337505540491e-06,5.6782140844458434e-08
652.0,5.992691444983716e-06,5.68827403718599e-08
653.0,5.9795694460787315e-06,5.674758535748572e-08
654.0,5.89242078423536e-06,5.584446066028619e-08
655.0,5.695475018885252e-06,5.4266161981423704e-08
656.0,5.489067730341896e-06,5.210574368950724e-08
657.0,5.479535790609218e-06,5.203823925375631e-08
658.0,5.654481152336568e-06,5.3826656506877326e-08
659.0,5.813614527661544e-06,5.5132957244551274e-08
660.0,5.887016296304098e-06,5.582906655496358e-08
661.0,5.920775719663819e-06,5.601901078177238e-08
662.0,5.9306151659119625e-06,5.600877046777573e-08
663.0,5.922791390743032e-06,5.5820764457789516e-08
664.0,5.917671584115798e-06,5.58394068781901e-08
665.0,5.925053815273621e-06,5.600666511263025e-08
666.0,5.925911315883828e-06,5.6114220758736545e-08
667.0,5.918697584310192e-06,5.6099432650982e-08
668.0,5.9172789230055675e-06,5.6069415697607535e-08
669.0,5.9160737630576675e-06,5.64507595540427e-08
670.0,5.898121128751373e-06,5.636869815334117e-08
671.0,5.872189269995677e-06,5.697150260422528e-08
672.0,5.856483587077579e-06,5.725385373192458e-08
673.0,5.853410662151707e-06,5.5622741294964455e-08
674.0,5.856941749927878e-06,5.5840472186213914e-08
675.0,5.855321623284637e-06,5.619801194390152e-08
676.0,5.854763128491075e-06,5.6231384787449644e-08
677.0,5.855360864888637e-06,5.627344687667012e-08
678.0,5.853981323816881e-06,5.6259807476434986e-08
679.0,5.848305107105716e-06,5.6153640386919746e-08
680.0,5.840804804035435e-06,5.591231220105419e-08
681.0,5.8359789827648e-06,5.579554729798976e-08
682.0,5.82831083266378e-06,5.5707454302084205e-08
683.0,5.807534412477829e-06,5.539551441872548e-08
684.0,5.7798409609908605e-06,5.519477617420483e-08
685.0,5.768113055101285e-06,5.5132159027015336e-08
686.0,5.777794737578493e-06,5.521573507235066e-08
687.0,5.794858289691458e-06,5.551480198623664e-08
