Date	21-01-20
Spectrometer	QEB1691
Lamp SN	F1402-5
Int. Time(usec)	750000
Average	0
	0
Fiber (micron)	 3900 
	
[uJoule/count]
440.46040	3.8104159E-05
441.24830	3.7860424E-05
442.03600	3.7618609E-05
442.82370	3.7391382E-05
443.61140	3.7168148E-05
444.39890	3.6947900E-05
445.18640	3.6743023E-05
445.97390	3.6543889E-05
446.76120	3.6346788E-05
447.54850	3.6155344E-05
448.33580	3.5958748E-05
449.12290	3.5769179E-05
449.91000	3.5583341E-05
450.69700	3.5414204E-05
451.48400	3.5245975E-05
452.27090	3.5077968E-05
453.05770	3.4914609E-05
453.84450	3.4750640E-05
454.63110	3.4589170E-05
455.41780	3.4434842E-05
456.20430	3.4283952E-05
456.99080	3.4139402E-05
457.77720	3.3989086E-05
458.56360	3.3839490E-05
459.34980	3.3686616E-05
460.13600	3.3541144E-05
460.92220	3.3398366E-05
461.70820	3.3255854E-05
462.49420	3.3114463E-05
463.28020	3.2974331E-05
464.06600	3.2832349E-05
464.85180	3.2694695E-05
465.63760	3.2556236E-05
466.42320	3.2420469E-05
467.20880	3.2286499E-05
467.99430	3.2154702E-05
468.77980	3.2021613E-05
469.56520	3.1886528E-05
470.35050	3.1752807E-05
471.13570	3.1625723E-05
471.92090	3.1498180E-05
472.70600	3.1370692E-05
473.49110	3.1241156E-05
474.27600	3.1111425E-05
475.06090	3.0987585E-05
475.84580	3.0863856E-05
476.63050	3.0740952E-05
477.41520	3.0623033E-05
478.19980	3.0504712E-05
478.98440	3.0384802E-05
479.76890	3.0261798E-05
480.55330	3.0139106E-05
481.33760	3.0021725E-05
482.12190	2.9902648E-05
482.90610	2.9784491E-05
483.69030	2.9664598E-05
484.47430	2.9545745E-05
485.25830	2.9429703E-05
486.04230	2.9311640E-05
486.82610	2.9198232E-05
487.60990	2.9089552E-05
488.39360	2.8982961E-05
489.17730	2.8878737E-05
489.96090	2.8773205E-05
490.74440	2.8676994E-05
491.52780	2.8584411E-05
492.31120	2.8494678E-05
493.09450	2.8406638E-05
493.87770	2.8323971E-05
494.66090	2.8243868E-05
495.44400	2.8164268E-05
496.22700	2.8088672E-05
497.00990	2.8014984E-05
497.79280	2.7941723E-05
498.57560	2.7868376E-05
499.35840	2.7791898E-05
500.14100	2.7716339E-05
500.92360	2.7644683E-05
501.70620	2.7562556E-05
502.48860	2.7477093E-05
503.27100	2.7389949E-05
504.05330	2.7297791E-05
504.83560	2.7200675E-05
505.61770	2.7104830E-05
506.39980	2.7009496E-05
507.18190	2.6909936E-05
507.96380	2.6809804E-05
508.74570	2.6710235E-05
509.52750	2.6609048E-05
510.30930	2.6514145E-05
511.09100	2.6419155E-05
511.87260	2.6324720E-05
512.65410	2.6236261E-05
513.43560	2.6149207E-05
514.21700	2.6061511E-05
514.99830	2.5978658E-05
515.77960	2.5898594E-05
516.56070	2.5820419E-05
517.34180	2.5745822E-05
518.12290	2.5671537E-05
518.90390	2.5594466E-05
519.68470	2.5524396E-05
520.46560	2.5457533E-05
521.24630	2.5388630E-05
522.02700	2.5325393E-05
522.80760	2.5265078E-05
523.58820	2.5204100E-05
524.36860	2.5143610E-05
525.14900	2.5085467E-05
525.92930	2.5028806E-05
526.70960	2.4973674E-05
527.48980	2.4916368E-05
528.26990	2.4856941E-05
529.04990	2.4799069E-05
529.82990	2.4742442E-05
530.60980	2.4683471E-05
531.38960	2.4623635E-05
532.16930	2.4567862E-05
532.94900	2.4510440E-05
533.72860	2.4453602E-05
534.50810	2.4400028E-05
535.28760	2.4347384E-05
536.06700	2.4296286E-05
536.84630	2.4249455E-05
537.62560	2.4203988E-05
538.40470	2.4158402E-05
539.18380	2.4115010E-05
539.96280	2.4073264E-05
540.74180	2.4030232E-05
541.52070	2.3987159E-05
542.29950	2.3945155E-05
543.07820	2.3903335E-05
543.85690	2.3861805E-05
544.63550	2.3818539E-05
545.41400	2.3776264E-05
546.19240	2.3735759E-05
546.97080	2.3696519E-05
547.74910	2.3656438E-05
548.52730	2.3618134E-05
549.30550	2.3581482E-05
550.08360	2.3545392E-05
550.86160	2.3509339E-05
551.63950	2.3478451E-05
552.41740	2.3448726E-05
553.19520	2.3418223E-05
553.97290	2.3387004E-05
554.75050	2.3357739E-05
555.52810	2.3327987E-05
556.30560	2.3296972E-05
557.08300	2.3266594E-05
557.86040	2.3235392E-05
558.63760	2.3203473E-05
559.41480	2.3175918E-05
560.19200	2.3146817E-05
560.96900	2.3117046E-05
561.74600	2.3090678E-05
562.52290	2.3062749E-05
563.29970	2.3036728E-05
564.07650	2.3011281E-05
564.85320	2.2985560E-05
565.62980	2.2961055E-05
566.40630	2.2938925E-05
567.18280	2.2916320E-05
567.95920	2.2890704E-05
568.73550	2.2865045E-05
569.51180	2.2837442E-05
570.28790	2.2808063E-05
571.06400	2.2780644E-05
571.84000	2.2753086E-05
572.61600	2.2726595E-05
573.39190	2.2697821E-05
574.16770	2.2670720E-05
574.94340	2.2645161E-05
575.71900	2.2623817E-05
576.49460	2.2604501E-05
577.27010	2.2586782E-05
578.04560	2.2569334E-05
578.82090	2.2552820E-05
579.59620	2.2537485E-05
580.37140	2.2522173E-05
581.14650	2.2510107E-05
581.92160	2.2500078E-05
582.69660	2.2490767E-05
583.47150	2.2483273E-05
584.24630	2.2475373E-05
585.02110	2.2464871E-05
585.79570	2.2453852E-05
586.57030	2.2447099E-05
587.34490	2.2437925E-05
588.11930	2.2429463E-05
588.89370	2.2420554E-05
589.66800	2.2411681E-05
590.44230	2.2401614E-05
591.21640	2.2390743E-05
591.99050	2.2381043E-05
592.76450	2.2372610E-05
593.53840	2.2367611E-05
594.31230	2.2362824E-05
595.08610	2.2357922E-05
595.85980	2.2353027E-05
596.63340	2.2349865E-05
597.40700	2.2347908E-05
598.18050	2.2342924E-05
598.95390	2.2335477E-05
599.72720	2.2325122E-05
600.50040	2.2313625E-05
601.27360	2.2300657E-05
602.04670	2.2284454E-05
602.81970	2.2267826E-05
603.59270	2.2248165E-05
604.36560	2.2226516E-05
605.13840	2.2203989E-05
605.91110	2.2180604E-05
606.68370	2.2159275E-05
607.45630	2.2137559E-05
608.22880	2.2114837E-05
609.00120	2.2095661E-05
609.77360	2.2076476E-05
610.54590	2.2055118E-05
611.31800	2.2038010E-05
612.09020	2.2021605E-05
612.86220	2.2004362E-05
613.63420	2.1990868E-05
614.40610	2.1976459E-05
615.17790	2.1963336E-05
615.94960	2.1953010E-05
616.72130	2.1943956E-05
617.49280	2.1934733E-05
618.26430	2.1929202E-05
619.03580	2.1924692E-05
619.80710	2.1921794E-05
620.57840	2.1922194E-05
621.34960	2.1922726E-05
622.12070	2.1926039E-05
622.89180	2.1928798E-05
623.66270	2.1930519E-05
624.43360	2.1933738E-05
625.20450	2.1932382E-05
625.97520	2.1929055E-05
626.74590	2.1924446E-05
627.51640	2.1917538E-05
628.28700	2.1907979E-05
629.05740	2.1893627E-05
629.82770	2.1881372E-05
630.59800	2.1867958E-05
631.36820	2.1851681E-05
632.13830	2.1836148E-05
632.90840	2.1822778E-05
633.67840	2.1807385E-05
634.44820	2.1796949E-05
635.21810	2.1788298E-05
635.98780	2.1778259E-05
636.75750	2.1769765E-05
637.52700	2.1763245E-05
638.29650	2.1760046E-05
639.06600	2.1754959E-05
639.83530	2.1751505E-05
640.60460	2.1750889E-05
641.37380	2.1750680E-05
642.14290	2.1751684E-05
642.91190	2.1753383E-05
643.68090	2.1755049E-05
644.44980	2.1757427E-05
645.21860	2.1762588E-05
645.98730	2.1768168E-05
646.75600	2.1774458E-05
647.52450	2.1781597E-05
648.29300	2.1791010E-05
649.06140	2.1801129E-05
649.82980	2.1808292E-05
650.59800	2.1815412E-05
651.36620	2.1825572E-05
652.13430	2.1836556E-05
652.90240	2.1845171E-05
653.67030	2.1853353E-05
654.43820	2.1864123E-05
655.20600	2.1872728E-05
655.97370	2.1880122E-05
656.74130	2.1888938E-05
657.50890	2.1896106E-05
658.27630	2.1907413E-05
659.04370	2.1921372E-05
659.81110	2.1932246E-05
660.57830	2.1943207E-05
661.34550	2.1954922E-05
662.11250	2.1965879E-05
662.87950	2.1979348E-05
663.64650	2.1990068E-05
664.41330	2.2001147E-05
665.18010	2.2012050E-05
665.94680	2.2022383E-05
666.71340	2.2031837E-05
667.47990	2.2041964E-05
668.24640	2.2051289E-05
669.01270	2.2062714E-05
669.77900	2.2075706E-05
670.54520	2.2087388E-05
671.31140	2.2099292E-05
672.07740	2.2113075E-05
672.84340	2.2128136E-05
673.60930	2.2143838E-05
674.37510	2.2162344E-05
675.14090	2.2178922E-05
675.90650	2.2196066E-05
676.67210	2.2216108E-05
677.43760	2.2235505E-05
678.20300	2.2256187E-05
678.96840	2.2276878E-05
679.73360	2.2300256E-05
680.49880	2.2325539E-05
681.26390	2.2347417E-05
682.02890	2.2371691E-05
682.79390	2.2396544E-05
683.55870	2.2420625E-05
684.32350	2.2443607E-05
685.08820	2.2467678E-05
685.85290	2.2489762E-05
686.61740	2.2510605E-05
687.38190	2.2529514E-05
688.14620	2.2549287E-05
688.91050	2.2572641E-05
689.67480	2.2592667E-05
690.43890	2.2612178E-05
691.20300	2.2634360E-05
691.96700	2.2657840E-05
692.73090	2.2683634E-05
693.49470	2.2710052E-05
694.25840	2.2740267E-05
695.02210	2.2776254E-05
695.78570	2.2814128E-05
696.54920	2.2849581E-05
697.31260	2.2886385E-05
698.07590	2.2925061E-05
698.83920	2.2958418E-05
699.60240	2.2983832E-05
700.36540	2.3010035E-05
701.12850	2.3035355E-05
701.89140	2.3053670E-05
702.65430	2.3068412E-05
703.41700	2.3086983E-05
704.17970	2.3108186E-05
704.94230	2.3129004E-05
705.70490	2.3146292E-05
706.46730	2.3170213E-05
707.22970	2.3205476E-05
707.99200	2.3241460E-05
708.75420	2.3275513E-05
709.51630	2.3319204E-05
710.27830	2.3371803E-05
711.04030	2.3422861E-05
711.80220	2.3469813E-05
712.56400	2.3526587E-05
713.32570	2.3592018E-05
714.08730	2.3660970E-05
714.84890	2.3732548E-05
715.61040	2.3812824E-05
716.37180	2.3906115E-05
717.13310	2.4006847E-05
717.89430	2.4105814E-05
718.65550	2.4207059E-05
719.41650	2.4317829E-05
720.17750	2.4428303E-05
720.93840	2.4524713E-05
721.69920	2.4618255E-05
722.46000	2.4710996E-05
723.22060	2.4796903E-05
723.98120	2.4863182E-05
724.74170	2.4910004E-05
725.50210	2.4950326E-05
